DATE,Confirmed
2/28/22,79053656
3/1/22,79100368
3/2/22,79153783
3/3/22,79202401
3/4/22,79253668
3/5/22,79268589
3/6/22,79280985
3/7/22,79345070
3/8/22,79374823
3/9/22,79412529
3/10/22,79459114
3/11/22,79508830
3/12/22,79519047
3/13/22,79530098
3/14/22,79565488
3/15/22,79589870
3/16/22,79636007
3/17/22,79689173
3/18/22,79720527
3/19/22,79731409
3/20/22,79742858
3/21/22,79785139
3/22/22,79809710
3/23/22,79850742
3/24/22,79893745
3/25/22,79940183
3/26/22,79949617
3/27/22,79961400
3/28/22,80000367
3/29/22,80024542
3/30/22,80063720
3/31/22,80109345
4/1/22,80141546
4/2/22,80153335
4/3/22,80158059
4/4/22,80186955
4/5/22,80212547
4/6/22,80253461
4/7/22,80300704
4/8/22,80388126
4/9/22,80400689
4/10/22,80409460
4/11/22,80450716
4/12/22,80486452
4/13/22,80527587
4/14/22,80576221
4/15/22,80613695
4/16/22,80626134
4/17/22,80633315
4/18/22,80686311
4/19/22,80732932
4/20/22,80801713
4/21/22,80850913
4/22/22,80952268
4/23/22,80971930
4/24/22,80984914
